Common Name,Family,Genus,Species
Boxelder maple,Boxelder maple,,Acer negundo
Red Maple,Red Maple,,Acer rubrum
Silver Maple,Silver Maple,,Acer saccharinum
Sugar Maple,Sugar Maple,,Acer saccharum
Tree of Heaven,Tree of Heaven,,Ailanthus altissima
Sweet birch,Sweet birch,,Betula lenta
Watershield,Watershield,,Brasenia schreberi
twoheaded water-starwort,twoheaded water-starwort,,Callitriche heterophylla
Bitternut hickory,Bitternut hickory,,Carya cordiformis
Pignut Hickory,Pignut Hickory,,Carya glabra
Carya tomentosa,Carya tomentosa,,Carya tomentosa
Buttonbush,Buttonbush,,Cephalanthus occidentalis
Green algae,Green algae,,Chlorophyta
Sweet pepperbush,Sweet pepperbush,,Clethra alnifolia
Swamp loosestrife,Swamp loosestrife,,Decodon verticillatus
Desert saltgrass,Desert saltgrass,,Distichlis spicata
Eleocharis obtusa,Eleocharis obtusa,,Eleocharis obtusa
Field horsetail,Field horsetail,,Equisetum arvense
Eubotrys racemosa,Eubotrys racemosa,,Eubotrys racemosa
American beech,American beech,,Fagus grandifolia
American ash,American ash,,Fraxinus americana
Wild geranium,Wild geranium,,Geranium maculatum
Dwarf St. John's wort,Dwarf St. John's wort,,Hypericum mutilum
bigleaf marsh-elder,bigleaf marsh-elder,,Iva frutescens
tapertip rush,tapertip rush,,Juncus acuminatus
Eastern black walnut,Eastern black walnut,,Juglans nigra
Soft rush,Soft rush,,Juncus effusus
"clasping bugleweed,","clasping bugleweed,",,Licopus amplectens
duckweed,duckweed,,Lemna
Sweetgum,Sweetgum,,Liquidambar styraciflua
Tulip tree,Tulip tree,,Liriodendron tulipifera
northern bugleweed,northern bugleweed,,Lycopus rubellus
